SL No,DISTRICT ,SEVERE_MENTAL_DISORDER_(SMD),COMMON_MENTAL _DISORDER(CMD),ALCOHOL_&_SUBSTANCE_ABUSE,CASES_REFERRED_TO_HIGHER_CENTRES,SUICIDE_ATTEMPT_CASES,Others,Total
1,BAGALKOTE,2087,3947,17,8,0,8983,15042
2,BANGALORE RURAL,2453,5382,671,945,22,8476,17949
3,BANGALORE URBAN,10718,44655,2961,504,1261,17831,77930
4,BELGAUM,7680,11192,2353,787,490,24298,46800
5,BELLARY,14353,36647,14559,32,4045,31369,101005
6,BIDAR,3021,4023,2058,87,2,1046,10237
7,BIJAPUR,2475,5678,704,0,2,9740,18599
8,CHAMRAJNAGAR,7273,11368,999,52,10,14551,34253
9,CHIKKABALLAPUR,6665,13245,6924,246,1658,20358,49096
10,CHIKMAGALUR,4487,3948,986,1981,7,7832,19241
11,CHITRADURGA,5958,15117,1385,1440,1258,9812,34970
12,DAKSHINA KANNADA,8262,10198,3823,6260,384,34184,63111
13,DAVANAGERE,3626,3408,946,343,32,1976,10331
14,DHARWAD,3903,11448,596,11,70,10177,26205
15,GADAG,5785,7755,1613,260,216,14081,29710
16,GULBARGA,8950,5827,3273,1231,473,14744,34498
17,HASSAN,1886,5488,2311,3305,778,2479,16247
18,HAVERI,7342,5796,858,0,7499,6061,27556
19,KODAGU,1134,2012,732,38,260,5024,9200
20,KOLAR,5899,8540,2739,1096,72,11116,29462
21,KOPPAL,6393,13319,302,40,56,12786,32896
22,MANDYA,7966,16852,2489,225,649,19347,47528
23,MYSORE,1836,3637,3227,2261,4462,3285,18708
24,RAICHUR,10790,23377,9959,103,40,6317,50586
25,RAMANAGAR,2019,3143,1104,0,129,9979,16374
26,SHIMOGA,3869,10872,1062,149,569,6331,22852
27,TUMKUR,1894,5447,600,9,511,7868,16329
28,UDUPI,3062,6058,453,11,7,6836,16427
29,UTTARA KANNADA,2321,2058,294,10,23,3768,8474
30,YADGIR,2356,5498,610,67,193,5317,14041
