SL No,DISTRICT ,SEVERE_MENTAL_DISORDER_(SMD),COMMON_MENTAL _DISORDER(CMD),ALCOHOL_&_SUBSTANCE_ABUSE,CASES_REFERRED_TO_HIGHER_CENTRES,SUICIDE_ATTEMPT_CASES,Others,Total
1,BAGALKOTE,3328,3999,447,6,115,6944,14839
2,BANGALORE RURAL,3396,7024,1006,1057,199,9804,22486
3,BANGALORE URBAN,11886,34972,5994,740,885,17523,72000
4,BELGAUM,10950,12292,2242,585,854,26093,53016
5,BELLARY,12206,29526,9926,16,1635,28763,82072
6,BIDAR,10464,22398,11802,6424,85,22490,73663
7,BIJAPUR,3874,3202,336,0,7,5863,13282
8,CHAMRAJNAGAR,8222,13175,1846,70,25,15168,38506
9,CHIKKABALLAPUR,7886,20070,10340,437,1038,23193,62964
10,CHIKMAGALUR,3468,2812,139,506,0,2939,9864
11,CHITRADURGA,7330,16219,1478,2060,727,9337,37151
12,DAKSHINA KANNADA,9378,12023,3775,6857,678,32039,64750
13,DAVANAGERE,3569,3170,1163,624,49,1487,10062
14,DHARWAD,2671,8858,367,397,48,8645,20986
15,GADAG,8185,9025,2391,66,597,17272,37536
16,GULBARGA,8540,5424,3467,1452,668,12265,31816
17,HASSAN,4713,8904,3266,2741,5917,7022,32563
18,HAVERI,7623,6488,1413,592,2636,5172,23924
19,KODAGU,1664,2458,976,214,274,5822,11408
20,KOLAR,5794,8573,2471,963,50,11217,29068
21,KOPPAL,2852,8658,236,377,37,12016,24176
22,MANDYA,8294,20846,2894,547,1014,20255,53850
23,MYSORE,3089,7254,4735,2285,3671,13673,34707
24,RAICHUR,17047,41386,18233,502,111,7136,84415
25,RAMANAGAR,2265,3525,881,94,339,6875,13979
26,SHIVAMOGGA,4249,10444,1122,180,272,7931,24198
27,TUMKUR,5534,12359,762,37,451,11179,30322
28,UDUPI,5288,7598,1003,120,51,7545,21605
29,UTTARA KANNADA,6478,4067,373,65,0,8150,19133
30,YADGIR,3126,5744,1132,93,540,6199,16834
